step,sim_time_s,altitude_km,latitude_deg,longitude_deg,battery_soc,solar_power_w,power_draw_w,in_eclipse,in_saa,fdir_mode,seu_active,gs_visible,panel_eff,drag_coeff,thrust_x,thrust_y,thrust_z,throttle,deep_sleep,payload_on,fdir_overridden,is_done,done_reason
1000,5005,564.1515576740867,-46.71920061729995,-74.62517934092791,0.9922608602362679,0,30,1,0,0,0,0,0.9938034254535916,2.2160238635280676,-0.18283007,-0.2059844,0.44377643,0,0,0,0,0,0
2000,10005,557.0323828538767,-80.91161227488477,8.204733736259694,0.9870163866013014,89.97425452285329,5,0,0,0,0,0,0.9997139391428144,2.25287192692936,0.25069153,-0.14279309,0.40423164,0,1,0,0,0,0
3000,15005,558.575060719987,-37.327656793999594,46.022384688156976,1,89.47360395552307,55,0,0,0,0,0,0.9941511550613675,2.245897566660455,-0.30467364,0.30662018,-0.5400405,0.29077175,0,1,0,0,0
4000,20005,566.2615346907342,9.848602929841013,38.38981154343883,0.9762055663973351,89.21090231873542,55,0,0,0,0,0,0.9912322479859491,2.250086115422541,-0.31070435,0.31203344,-0.53754413,0.3055084,0,1,0,0,0
5000,25005,576.0037930632025,56.80482579705086,19.082837733239256,0.9097501789387461,88.91597364507518,55,0,0,0,0,3,0.9879552627230576,2.265123644151503,-0.31070435,0.31203344,-0.53754413,0.3055084,0,1,0,0,0
6000,30005,587.478936647014,72.88516246232658,145.60833375739003,0.8431860745124015,89.0812698200127,30,0,0,0,0,0,0.98979188688903,2.276831068437949,-0.31070435,0.31203344,-0.53754413,0.3055084,0,1,0,0,0
7000,35005,596.4337600347399,26.796204473993555,138.02535893594398,0.890117323061874,0,30,1,0,0,0,0,0.9911284260558976,2.2781075852732147,-0.18406232,-0.48285216,0.6717464,0,0,0,0,0,0
8000,40005,594.314995950016,-20.47314061179073,129.94161737332203,0.9578738431208088,0,30,1,0,0,0,0,0.9965629660115038,2.311921435437635,-0.16354239,-0.2994482,0.542737,0,0,0,0,0,0
9000,45005,581.1308924141231,-67.28220291250972,131.13949633597147,0.9937107367713904,89.36598957396896,30,0,0,0,0,0,0.9929554397107662,2.325921943160196,0.19218813,0.22514676,0.20529027,0,0,0,0,0,0
10000,50005,568.0563411351095,-62.16977745445183,-113.06146453527779,0.9889046843406866,89.71089572150562,5,0,0,0,0,0,0.9967877302389514,2.2900554542887344,0.23374772,-0.20618516,0.48436883,0,1,0,0,0,0
11000,55005,563.8067726292011,-14.583765232676615,-115.03388575701068,1,89.93811268146348,55,0,0,0,0,0,0.999312363127372,2.276552427979716,-0.31070408,0.31203267,-0.5375438,0.3055084,0,1,0,0,0
12000,60005,569.8018031041374,33.54835457114614,-137.7939753893106,0.9514599244805196,89.81065713421981,55,0,0,0,0,0,0.9978961903802201,2.2682464533347155,-0.31070435,0.31203344,-0.53754413,0.3055084,0,1,0,0,0
13000,65005,585.9680452746306,79.17225091557243,-112.14247910300968,0.8457745918586544,89.49299309907501,55,0,0,0,0,0,0.9943665899897224,2.310855680134814,-0.31070435,0.31203344,-0.53754413,0.3055084,0,1,0,0,0
14000,70005,607.3063904120336,48.47953302112712,-1.9039403132459494,0.8562809355990237,0,30,1,0,0,0,1,0.9924478722556749,2.3206084260270097,-0.34298247,-0.31086808,0.72404927,0,0,0,0,0,0
15000,75005,619.157940705888,0.7448040349636176,-23.11151619352974,0.929727535402039,0,30,1,0,0,0,0,0.999898500945064,2.3479198288987453,-0.17089175,-0.48877776,0.41774502,0,0,0,0,0,0
16000,80005,610.4880936537083,-47.08264065595864,-29.49735301928475,1,0,5,1,0,0,0,0,0.9971216674463542,2.3613400145974333,-0.07684173,-0.12695114,0.47994605,0,1,0,0,0,0
17000,85005,588.480110246941,-79.92230758125304,61.32760338076354,1,89.50791888849523,5,0,0,0,0,0,0.9945324320943915,2.3650053700449107,0.22400394,-0.2695885,0.5600218,0,1,0,0,0,0
18000,90005,569.746590189352,-34.13150040637135,91.6465201077387,0.9963656811881805,89.81897522753698,55,0,0,0,0,0,0.9979886136392998,2.374196009741724,-0.26411724,0.2610146,-0.5624666,0.17298265,0,1,0,0,0
19000,95005,565.4161919510407,14.83850916092618,84.09582646934885,0.9824397791730182,89.53208696077282,55,0,0,0,0,0,0.994800966230809,2.3950716553985365,-0.31070435,0.31203344,-0.53754413,0.3055084,0,1,0,0,0
20000,100005,579.9973442239898,63.41331342467591,67.93289561169229,0.9009052221877124,89.39157065766074,55,0,0,0,0,0,0.9932396739740081,2.4134702406498616,-0.31070435,0.31203344,-0.53754413,0.3055084,0,1,0,0,0
21000,105005,609.912591328879,64.99607459873258,-160.15825234982182,0.8666835217493827,0,30,1,0,0,0,0,0.9966540690264603,2.3888727089384316,-0.39518023,-0.4228103,0.54117817,0,0,0,0,0,0
22000,110005,636.7426145438603,16.97790033258075,-160.395306581936,0.9126300625708736,0,30,1,0,0,0,0,0.996390914881513,2.315835046227515,-0.17606042,-0.49708486,0.6672236,0,0,0,0,0,0
23000,115005,638.7530774623237,-31.473968640523612,176.82093427762572,0.9830776395718223,0,30,1,0,0,0,0,0.993044769822973,2.3727771857217324,-0.23216195,-0.18593349,0.43704352,0,0,0,0,0,0
24000,120005,614.3147812571897,-78.07279266213892,-162.3077097547361,0.9766557104186274,89.85502543499122,5,0,0,0,0,0,0.9983891714999025,2.353650357899336,0.22889954,-0.25945964,0.53392106,0,1,0,0,0,0
25000,125005,582.7430378071085,-48.69813359953117,-62.04708262239508,0.9931623027252592,89.96426419634413,30,0,0,0,0,0,0.9996029355149348,2.3613230086210915,0.19565699,0.21947655,0.20162973,0,0,0,0,0,0
26000,130005,565.151042353853,0.9156453446548235,-67.88543732967665,1,89.98851511257351,55,0,0,0,0,0,0.9998723901397056,2.4169598892672175,-0.31070435,0.31203344,-0.53754413,0.3055084,0,1,0,0,0
27000,135005,573.9026606080879,50.71274805821012,-73.2985759886137,0.9179933587642494,89.51815048022345,55,0,0,0,0,0,0.9946461164469272,2.3650423059351504,-0.31070435,0.31203344,-0.53754413,0.3055084,0,1,0,0,0
28000,140005,608.7873520167077,76.02052773900756,33.35238138691248,0.8551704063022975,89.84804564662005,55,0,0,0,0,2,0.9983116182957783,2.426835317491093,-0.31070435,0.31203344,-0.53754413,0.3055084,0,1,0,0,0
29000,145005,649.1140632922697,28.305858462093763,47.733064365951606,0.8927892404835123,0,30,1,0,0,0,0,0.9917355452013081,2.4112166246112463,-0.17922334,-0.49283886,0.6698778,0,0,0,0,0,0
30000,150005,663.6566376381925,-20.720708829293383,24.957239499478554,0.9478711394301811,0,30,1,0,0,0,0,0.993098165582835,2.446818397522941,-0.2559683,-0.27917814,0.49865675,0,0,0,0,0,0
31000,155005,640.7523025488936,-69.112819214981,28.180394855634354,1,89.84856590169663,5,0,0,0,0,0,0.9983173989077404,2.4381585217856583,0.22862008,-0.17586567,0.47614464,0,1,0,0,0,0
32000,160005,599.0386076249397,-58.29326732869782,159.08243490634882,1,89.37055251338568,5,0,0,0,0,0,0.9930061390376186,2.4652552938081604,0.20114578,-0.13809673,0.49493065,0,1,0,0,0,0
33000,165005,568.0998996893832,-8.15321028158385,140.83384157258737,1,89.36479386995279,55,0,0,0,0,0,0.9929421541105865,2.4093426872400086,-0.3107044,0.31203344,-0.53754413,0.30550838,0,1,0,0,0
34000,170005,569.5685840043625,42.60603087027695,134.27922516742288,0.952680736313264,88.88171264303382,55,0,0,0,0,0,0.9875745849225981,2.4130297806373466,-0.31070435,0.31203344,-0.53754413,0.3055084,0,1,0,0,0
35000,175005,607.8106262787232,81.06992667313031,-144.5814823168977,0.8579961037380652,88.8265514895752,55,0,0,0,0,0,0.9869616832175021,2.3818020462107516,-0.31070435,0.31203344,-0.53754413,0.3055084,0,1,0,0,0
36000,180005,659.9706778792979,34.806507668072584,-103.5420209120041,0.89103552762616,0,30,1,0,0,0,0,0.9861972035165797,2.3666877505278503,-0.22123076,-0.40642998,0.686084,0,0,0,0,0,0
37000,185005,686.0472639065647,-14.791989931268573,-110.92306572663368,0.9705200021038025,0,30,1,0,0,0,0,0.9858794613589991,2.3996755992189773,-0.14653611,-0.3031842,0.5508305,0,0,0,0,0,0
