step,sim_time_s,altitude_km,latitude_deg,longitude_deg,battery_soc,solar_power_w,power_draw_w,in_eclipse,in_saa,fdir_mode,seu_active,gs_visible,panel_eff,drag_coeff,thrust_x,thrust_y,thrust_z,throttle,deep_sleep,payload_on,fdir_overridden,is_done,done_reason
5000,25005,575.3547601128712,55.45476294493225,18.466187506771703,1,88.91597364507518,5,0,0,0,0,3,0.9879552627230576,2.265123644151503,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
10000,50005,552.0494046487611,-66.92287612345889,-116.70235443568558,0.9889046843406866,89.71089572150562,5,0,0,0,0,0,0.9967877302389514,2.2900554542887344,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
15000,75005,576.9086928707593,12.540158207512206,-24.72515751810494,0.980179754243545,0,5,1,0,0,0,0,0.999898500945064,2.3479198288987453,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
20000,100005,572.600822157,43.01368972009196,59.348649357765936,1,89.39157065766074,5,0,0,0,0,0,0.9932396739740081,2.4134702406498616,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
25000,125005,552.1592536453318,-78.14177171666626,-93.6040372032615,0.9931623027252592,89.96426419634413,5,0,0,0,0,0,0.9996029355149348,2.3613230086210915,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
30000,150005,579.359223159905,25.128799658499336,18.3495542642504,0.9655341734869654,0,5,1,0,0,0,0,0.993098165582835,2.446818397522941,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
35000,175005,569.4501469483412,30.449092243487364,101.6390672454145,1,88.8265514895752,5,0,0,0,0,0,0.9869616832175021,2.3818020462107516,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
40000,200005,553.5950882119605,-81.31941133422092,-109.35386361716985,0.977006480063855,88.524409415351,5,0,0,0,0,0,0.9836045490594556,2.4146572946717075,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
45000,225005,580.8082911891197,37.68351369622077,76.01415300060437,0.9733970158881478,0,5,1,0,0,0,0,0.9723702845831176,2.4120102063269866,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
50000,250005,566.0554547475349,17.813413532818355,159.59700449907874,0.9860084195581909,86.86011016837728,5,0,0,0,0,0,0.9651123352041919,2.4677737306285765,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
55000,275005,556.2571485070011,-71.64274895764707,-103.58585607034804,1,87.56488702944024,5,0,0,0,0,0,0.9729431892160026,2.428324013868958,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
60000,300005,581.2206754797298,50.171440679457085,117.65000789968143,0.9746152799887613,0,5,1,0,0,0,0,0.9641089346602456,2.4772286287735636,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
65000,325005,562.6071654101634,5.130894504091092,-157.20862731288315,0.9871204451790225,86.91788773141673,5,0,0,0,0,0,0.9657543081268525,2.4008947555007536,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
70000,350005,559.9155474356112,-59.58059034570136,-69.44382298360989,0.9947424386168812,87.2141959017929,5,0,0,0,0,0,0.9690466211310322,2.349232182503009,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
75000,375005,580.646302844928,62.496877734142814,156.86945740670708,0.9868671208458545,0,5,1,0,0,0,0,0.9722974304896129,2.2872690577817756,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
80000,400005,559.3303725258902,-7.5818071918668615,-113.94588789809687,1,87.6821309566213,5,0,0,0,0,0,0.9742458995180144,2.331466127610815,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
85000,425005,564.2328087000305,-47.10664497714545,-29.43753047433998,1,0,5,1,0,0,0,0,0.9754690215785331,2.2827153967441545,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
90000,450005,579.1985359607961,74.25645123797155,-171.90844444610096,0.9724275886876853,88.11073717643899,5,0,0,0,0,0,0.9790081908493221,2.2503012631150225,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
95000,475005,556.4748303695569,-20.30956834355968,-70.79469324973861,0.9995590325738706,86.98424069577639,5,0,0,0,0,0,0.9664915632864044,2.229712882474442,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
100000,500005,568.8041607590685,-34.504878182889634,12.501551657827456,0.9924314746762464,0,5,1,0,0,0,0,0.9677407996955091,2.2265653527248332,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
105000,525005,577.0363282862972,82.15425138549773,179.27859946708875,1,86.67865270308157,5,0,0,0,0,0,0.9630961411453508,2.200106888033956,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
110000,550005,554.2968504825176,-33.03245404553115,-27.985555649837494,1,86.45099697981922,5,0,0,0,0,0,0.9605666331091025,2.24058842165263,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
115000,575005,573.2045860532307,-21.85378112198658,55.26095225260578,0.9841016406243661,0,5,1,0,0,0,0,0.9556423404521718,2.3213601020296473,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
120000,600005,574.3415811139466,75.8983979918956,160.09327056978526,0.9960630691630418,85.7135944217093,5,0,0,0,0,0,0.9523732713523255,2.280008080151639,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
125000,625005,553.0336892370997,-45.71520946730806,14.065430631476115,1,86.26496766824448,5,0,0,0,0,0,0.958499640758272,2.284602491752927,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
130000,650005,577.0331978638505,-9.185467840001968,113.43442019363577,0.9910359491894407,0,5,1,0,0,0,0,0.9749350215920506,2.317742726642674,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
135000,675005,571.2957684008934,64.28354956807098,-156.33797590180566,1,87.3321005760831,5,0,0,0,0,0,0.9703566730675901,2.375575926109455,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
140000,700005,552.8632632853696,-58.282417112902976,69.39295237773823,1,88.13091187799601,5,0,0,0,0,0,0.9792323541999557,2.2499042749816383,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
145000,725005,579.9596502696004,3.485521877217651,156.69934003919636,0.9995037307563979,0,5,1,0,0,0,0,0.9850132498260931,2.3567762159831025,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
150000,750005,568.076205476551,51.910633915072694,-117.7750658047183,1,89.15030196324116,5,0,0,0,0,0,0.9905589107026797,2.4079629801130653,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
155000,775005,553.8828024374643,-70.48457618177464,104.49170466480889,1,88.28122621478892,5,0,0,0,0,0,0.9809025134976546,2.443137528483732,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
160000,800005,581.757351330295,16.149486957072284,-160.08359980803928,0.9898313061238337,0,5,1,0,0,0,0,0.9767937413318072,2.3770632116536676,-0.680896,-0.13668692,-0.022959322,0,1,0,1,0,0
165000,825005,564.8479516530006,39.31377235877526,-76.38354132154137,0.993526159562748,87.60346320307194,5,0,0,0,0,0,0.973371813367466,2.445163700511511,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
170000,850005,556.0777992070125,-80.7238233140872,115.35797213967751,1,87.12460102351471,5,0,0,0,0,0,0.9680511224834968,2.3487034223486645,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
175000,875005,582.3175565727533,28.79766902701433,-117.11592751508994,0.9650754737832482,0,5,1,0,0,0,0,0.9676592567189163,2.3784697393859013,-0.680896,-0.13668694,-0.022959393,0,1,0,1,0,0
180000,900005,561.7693456589095,26.611538813656598,-33.87513469863817,0.9906616276147295,86.27531311551022,5,0,0,0,0,0,0.9586145901723357,2.3873232229420704,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
185000,925005,559.3177530955927,-78.97613515121819,81.77203498589425,1,86.67134969334428,5,0,0,0,0,0,0.9630149965927143,2.409766786089795,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
190000,950005,581.6602036180993,41.411740216995916,-74.72275889333046,0.9819706318971703,0,5,1,0,0,0,0,0.9567532663660615,2.431138028955149,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
195000,975005,558.998653313919,13.849782730843588,9.137674173414787,1,87.55339486432091,5,0,0,0,0,0,0.9728154984924545,2.466780048616648,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
200000,1000005,563.3512839706382,-67.93609012315828,101.9221681245758,0.983336125581569,86.75613425163374,5,0,0,0,0,0,0.9639570472403749,2.272784421832345,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
205000,1025005,579.9096592019223,53.94538035876543,-33.61257812514483,0.9684736973061074,0,5,1,0,0,0,0,0.9645805835536103,2.1748386317022903,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
210000,1050005,556.6880570571584,1.0531578804262418,52.35891307238632,1,87.43651316792116,5,0,0,0,0,0,0.9715168129769018,2.1135744301547534,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
215000,1075005,567.8295316207023,-55.63318760878633,138.7504288683317,1,88.12938924307794,5,0,0,0,0,0,0.9792154360341992,2.128866061674728,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
220000,1100005,577.2774039827709,66.25455984882444,19.155273772627204,0.9819939918548047,0,5,1,0,0,0,3,0.9766390696295624,2.201850173473033,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
225000,1125005,554.990549498466,-11.760333431670738,110.63382855076445,1,87.96498668244494,5,0,0,0,0,0,0.9773887409160549,2.1111896484174455,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
230000,1150005,572.3420032257518,-43.0599116547087,-165.3918287515967,0.9739772445310956,0,5,1,0,0,0,0,0.9863819613250943,2.1692576021727827,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
235000,1175005,574.0287591316746,77.60659980442247,43.79536437349626,0.980731687944083,88.36426822480496,5,0,0,0,0,2,0.9818252024978329,2.2128710537895393,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
240000,1200005,554.0525843856376,-24.57342295289557,153.6894151020139,0.9975923490995517,88.93236211348015,5,0,0,0,0,0,0.9881373568164462,2.154751302645415,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
245000,1225005,576.4639152147283,-30.39418942520588,-123.12341866732737,0.9975023568196231,0,5,1,0,0,0,0,0.9895260415302357,2.1334342717005073,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
250000,1250005,570.4482671512515,81.59423373556264,14.98127984556413,1,87.94706630166435,5,0,0,0,0,2,0.9771896255740483,2.1209863557268944,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
255000,1275005,553.9927876806842,-37.36435824618287,-163.70962004756922,0.9994425110719012,87.2338597925486,5,0,0,0,0,0,0.9692651088060955,2.233971302120559,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
260000,1300005,579.7989577923099,-17.685812425326795,-80.21563462603602,0.9878735132731634,0,5,1,0,0,0,0,0.9756721443263877,2.257215155274445,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
265000,1325005,566.812722923708,72.19445813003601,17.48299207450992,0.9931977830320085,88.26864351752104,5,0,0,0,0,2,0.9807627057502338,2.166751967375345,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
270000,1350005,554.9033926170978,-50.093947458009076,-122.11729953744948,1,89.29508465943562,5,0,0,0,0,0,0.9921676073270623,2.173979944323335,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
275000,1375005,582.0380429783836,-4.9549215441307055,-37.02622767427888,0.9869074108063048,0,5,1,0,0,0,0,0.9887448398676548,2.1843714892221278,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
280000,1400005,563.3740497921744,60.08221998691719,51.041994095078614,1,88.50290779532168,5,0,0,0,0,2,0.9833656421702409,2.169089659252408,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
285000,1425005,556.802584425538,-62.651161881695934,-83.02696969519025,1,88.92936312804221,5,0,0,0,0,0,0.9881040347560246,2.066558913134903,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
290000,1450005,582.9775798630162,7.785681468312895,6.232405526056181,0.9830307763410036,0,5,1,0,0,0,0,0.9870184465233521,2.043750154246855,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
295000,1475005,560.334598220581,47.49282300075387,90.8850323691739,1,89.17254791768717,5,0,0,0,0,0,0.9908060879743019,2.1061357610979337,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
300000,1500005,559.6252970475616,-74.5905841678194,-52.42883049642675,0.9998688663502594,88.91000545883887,5,0,0,0,0,0,0.9878889495426542,2.16885382995049,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
305000,1525005,582.5471228338647,20.525371843952374,49.37837804713137,0.9749718127592115,0,5,1,0,0,0,0,0.9876218943055349,2.2454791837707573,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
310000,1550005,557.8396235953942,34.73617382286028,147.79607586218194,0.9985557477802579,88.38396884213962,5,0,0,0,0,0,0.9820440982459958,2.2926299948726627,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
315000,1575005,563.2053112666727,-82.2053199169557,-49.7967791799342,0.9983237868903695,88.02124668609804,5,0,0,0,0,0,0.978013852067756,2.275078992624897,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
320000,1600005,580.8147130558491,33.254491131221556,107.21877610501713,0.9923229700356946,0,5,1,0,0,0,0,0.9879468997617848,2.212046408210263,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
325000,1625005,555.996037425869,21.895301859019945,-169.48474845012692,0.9846918349737318,89.01908597588202,5,0,0,0,0,0,0.989100955287578,2.2443322146839484,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
330000,1650005,567.2934672260835,-75.25432667945668,-66.3356965783036,1,89.11177023451766,5,0,0,0,0,0,0.9901307803835295,2.2212481755312994,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
335000,1675005,577.9809797246835,45.94721702686743,149.247277509521,0.9665842352951064,0,5,1,0,0,0,0,0.9811929317362865,2.3142610486455784,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
340000,1700005,554.8744463618013,9.008595199443205,-126.38367535826539,1,88.56811661171909,5,0,0,0,0,0,0.9840901845746566,2.346091078262359,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
345000,1725005,571.5554091784716,-63.41320903323613,-36.76902563638887,1,88.34223690294746,5,0,0,0,0,0,0.9815804100327495,2.4187822249630164,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
350000,1750005,574.3408564095525,58.53434867029325,-170.52896687292684,0.9834519262552743,0,5,1,0,0,0,0,0.9853934181012197,2.3818606783319822,-0.68089604,-0.13668695,-0.0229594,0,1,0,1,0,0
355000,1775005,554.5155653254724,-3.9007852145286703,-83.15087372151227,1,88.68904810748393,5,0,0,0,0,0,0.9854338678609325,2.453696538856818,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
360000,1800005,575.61025458943,-50.90601122977432,2.0735295061796757,0.996338922914681,89.07841308924718,5,0,0,0,0,0,0.9897601454360798,2.395913962187194,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
365000,1825005,570.2514725299252,70.76323145502207,-135.677107032581,0.9790817506653611,0,5,1,0,0,0,0,0.9801587804891423,2.335171668498566,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
370000,1850005,554.9407892730833,-16.81371317450517,-39.9755542522853,0.9967141376381652,87.42163676987634,5,0,0,0,0,0,0.9713515196652927,2.2900651653654944,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
375000,1875005,579.0698600514334,-38.21879314751413,43.57569641120838,1,0,5,1,0,0,0,0,0.9664702720856775,2.3575770882779015,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
380000,1900005,566.0875308233954,80.92185979237048,-126.43458686730061,0.9621908184253112,86.73271466337776,5,0,0,0,0,0,0.9636968295930862,2.38472300812338,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
385000,1925005,556.1492447405135,-29.709621697168494,2.9267658344335614,1,86.43835280357747,5,0,0,0,0,0,0.960426142261972,2.291228862900349,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
390000,1950005,581.5829966411366,-25.4602848287214,86.13650213032427,0.9981617649860833,0,5,1,0,0,0,0,0.9661326233425857,2.2782313963792897,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
395000,1975005,562.2007237749185,78.63617144575034,-159.72817560745375,0.9968838781158128,85.30459647783253,5,0,0,0,0,0,0.9478288497536947,2.2933312231258838,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
400000,2000005,558.1155798243408,-42.55858869603215,60.23938820892834,0.995513504325571,85.18783722046528,5,0,0,0,0,0,0.9465315246718365,2.2693421499981583,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
405000,2025005,582.8810661973794,-12.667547090849753,144.21511564866108,1,0,5,1,0,0,0,0,0.9535158032701289,2.2101811216423717,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
410000,2050005,558.884875786357,67.36914257969907,-123.39852122179701,0.996349553513821,86.46594664749266,5,0,0,0,0,0,0.9607327405276962,2.1992999484069435,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
415000,2075005,560.7726998028284,-55.29943446154293,101.07263290855826,1,86.2466038352917,5,0,0,0,0,0,0.9582955981699077,2.275897357790233,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
420000,2100005,582.8101379641539,0.14316837082302994,-172.5564905644687,0.9783125422016055,0,5,1,0,0,0,0,0.9625847192413538,2.227081674805887,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
425000,2125005,556.3515047003011,54.88402448804321,-86.32327725483411,1,86.24971768068676,5,0,0,0,0,0,0.9583301964520751,2.130744668333009,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
430000,2150005,564.002228268927,-67.75037920134405,137.94562050063897,1,85.33772659941432,5,0,0,0,0,0,0.9481969622157147,2.0766172960599447,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
435000,2175005,581.3556094189571,12.962580413032441,-129.3313900912644,0.9992591770893355,0,5,1,0,0,0,0,0.9503756991705654,2.0816155031446604,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
440000,2200005,554.7240685912911,42.11160650599722,-45.42588225053797,1,84.78025611220289,5,0,0,0,0,0,0.9420028456911432,2.163631181363855,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
445000,2225005,567.6267805316265,-78.92105419128927,158.19344055575527,0.9903042099141317,84.22549622097574,5,0,0,0,0,0,0.9358388468997305,2.1473064305738165,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
450000,2250005,578.6459450726315,25.78087343870495,-86.30541798735325,0.97349556154896,0,5,1,0,0,0,0,0.9360974299522902,2.082031859281183,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
455000,2275005,554.0402984391294,29.22765933470409,-3.1287979403632655,0.9820919079073929,84.56207310172587,5,0,0,0,0,0,0.9395785900191764,1.9365192432326004,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
460000,2300005,571.4083143647058,-80.71203188336322,124.206826105577,0.9977029631535697,84.43509527993,5,0,0,0,0,0,0.9381677253325555,1.955874509809423,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
465000,2325005,574.9414021897137,38.58129660625963,-43.77174232132111,0.9829229782954416,0,5,1,0,0,0,0,0.9394517964691111,1.9082315821924276,-0.680896,-0.13668694,-0.022959393,0,1,0,1,0,0
470000,2350005,554.270154788248,16.29214435931927,39.78305831397616,1,84.15545908031963,5,0,0,0,0,0,0.935060656447996,1.8257860327421374,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
475000,2375005,575.059172511139,-70.38806565528074,135.05903141761922,0.9912979279210286,84.2714502103268,5,0,0,0,0,0,0.936349446781409,1.937620522614844,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
480000,2400005,570.6021655735867,51.32419419319945,-2.335592876180356,0.989653700550893,0,5,1,0,0,0,1,0.9347757582217112,1.8853344999304489,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
485000,2425005,555.3307524579959,3.3351193160766854,82.95841962272708,0.9975004028802218,84.86159330998875,5,0,0,0,0,0,0.9429065923332084,1.9702483478592816,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
490000,2450005,578.2626769039016,-58.10966107459701,-174.76074432061986,0.9882748198908244,84.39452369452836,5,0,0,0,0,0,0.937716929939204,1.9618429868422305,-0.68089586,-0.13668694,-0.022959393,0,1,0,1,0,0
