step,sim_time_s,altitude_km,latitude_deg,longitude_deg,battery_soc,solar_power_w,power_draw_w,in_eclipse,in_saa,fdir_mode,seu_active,gs_visible,panel_eff,drag_coeff,thrust_x,thrust_y,thrust_z,throttle,deep_sleep,payload_on,fdir_overridden,is_done,done_reason
5000,25005,575.3547601128712,55.45476294493225,18.466187506771703,0.9065160860658685,89.67504805351244,55,0,0,0,0,3,0.9963894228168049,2.265123644151503,-1,-0.9977803,-0.5084135,0,0,1,0,0,0
10000,50005,552.0494046487611,-66.92287612345889,-116.70235443568558,0.9889046843406866,89.91397467642378,55,0,0,0,0,0,0.9990441630713752,2.2900554542887344,-0.9999721,-0.4119125,0.99877626,0,0,0,0,0,0
15000,75005,576.9086928707593,12.540158207512206,-24.72515751810494,0.9026946053847441,0,30,1,0,0,0,0,0.9999733672833668,2.3479198288987453,-1,-0.5929786,0.9356374,0,0,0,0,0,0
20000,100005,572.600822157,43.01368972009196,59.348649357765936,0.9236587863898269,89.81789518728148,55,0,0,0,0,0,0.9979766131920165,2.4134702406498616,-0.9999996,-0.99358404,0.004319987,0,0,1,0,0,0
25000,125005,552.1592536453318,-78.14177171666626,-93.6040372032615,0.9931623027252592,89.9892805189032,30,0,0,0,0,0,0.9998808946544799,2.3613230086210915,-0.99996877,-0.35038093,0.99911493,0,0,0,0,0,0
30000,150005,579.359223159905,25.128799658499336,18.3495542642504,0.8740896687898002,0,30,1,0,0,0,0,0.9979315846747673,2.446818397522941,-1,-0.6187463,0.918576,0,0,0,0,0,0
35000,175005,569.4501469483412,30.449092243487364,101.6390672454145,0.9435367286860158,89.64860759684757,55,0,0,0,0,0,0.996095639964973,2.3818020462107516,-0.9999989,-0.9892744,0.18741998,0,0,1,0,0,0
40000,200005,553.5950882119605,-81.31941133422092,-109.35386361716985,0.977006480063855,89.55841497456228,55,0,0,0,0,0,0.9950934997173587,2.4146572946717075,-0.9999687,-0.35652533,0.99894756,0,0,1,0,0,0
45000,225005,580.8082911891197,37.68351369622077,76.01415300060437,0.8679737637596492,0,30,1,0,0,0,0,0.9917282203742644,2.4120102063269866,-1,-0.70130867,0.87190586,0,0,0,0,0,0
50000,250005,566.0554547475349,17.813413532818355,159.59700449907874,0.9444236462641524,89.06002520043529,55,0,0,0,0,0,0.9895558355603921,2.4677737306285765,-0.9999973,-0.97942287,0.49160695,0,0,1,0,0,0
55000,275005,556.2571485070011,-71.64274895764707,-103.58585607034804,1,89.27190825873627,55,0,0,0,0,0,0.9919100917637365,2.428324013868958,-0.99996406,-0.29874864,0.9989045,0,0,1,0,0,0
60000,300005,581.2206754797298,50.171440679457085,117.65000789968143,0.8551935155696124,0,30,1,0,0,0,0,0.989264815396814,2.4772286287735636,-1,-0.82467157,0.6957156,0,0,0,0,0,0
65000,325005,562.6071654101634,5.130894504091092,-157.20862731288315,0.9638796573032414,89.07870846929407,55,0,0,0,0,0,0.9897634274366008,2.4008947555007536,-0.99999285,-0.96142924,0.71424365,0,0,1,0,0,0
