step,sim_time_s,altitude_km,latitude_deg,longitude_deg,battery_soc,solar_power_w,power_draw_w,in_eclipse,in_saa,fdir_mode,seu_active,gs_visible,panel_eff,drag_coeff,thrust_x,thrust_y,thrust_z,throttle,deep_sleep,payload_on,fdir_overridden,is_done,done_reason
5000,25005,575.3547601128712,55.45476294493225,18.466187506771703,0.9049753730289082,88.91597364507518,55,0,0,0,0,3,0.9879552627230576,2.265123644151503,0.33985692,0.9787489,-0.9999999,0,0,1,0,0,0
10000,50005,552.0494046487611,-66.92287612345889,-116.70235443568558,0.9889046843406866,89.71089572150562,55,0,0,0,0,0,0.9967877302389514,2.2900554542887344,0.06236459,0.9532766,-0.99999887,0,0,1,0,0,0
15000,75005,576.9086928707593,12.540158207512206,-24.72515751810494,0.9026946053847441,0,30,1,0,0,0,0,0.999898500945064,2.3479198288987453,-0.99459606,0.9749636,-1,0,0,0,0,0,0
20000,100005,572.600822157,43.01368972009196,59.348649357765936,0.9224189866561171,89.39157065766074,55,0,0,0,0,0,0.9932396739740081,2.4134702406498616,0.517977,0.98818016,-0.9999997,0,0,1,0,0,0
25000,125005,552.1592536453318,-78.14177171666626,-93.6040372032615,0.9931623027252592,89.96426419634413,55,0,0,0,0,0,0.9996029355149348,2.3613230086210915,-0.44133928,0.942682,-0.9999988,0,0,1,0,0,0
30000,150005,579.359223159905,25.128799658499336,18.3495542642504,0.8740896687898002,0,30,1,0,0,0,0,0.993098165582835,2.446818397522941,-0.98611003,0.9417038,-0.9999999,0,0,0,0,0,0
35000,175005,569.4501469483412,30.449092243487364,101.6390672454145,0.9401496197147045,88.8265514895752,55,0,0,0,0,0,0.9869616832175021,2.3818020462107516,0.65677685,0.9888726,-0.99999964,0,0,1,0,0,0
40000,200005,553.5950882119605,-81.31941133422092,-109.35386361716985,0.977006480063855,88.524409415351,55,0,0,0,0,0,0.9836045490594556,2.4146572946717075,-0.8004577,0.94280523,-0.999999,0,0,1,0,0,0
45000,225005,580.8082911891197,37.68351369622077,76.01415300060437,0.8679737637596492,0,30,1,0,0,0,0,0.9723702845831176,2.4120102063269866,-0.95705813,0.8695504,-0.9999999,0,0,0,0,0,0
50000,250005,566.0554547475349,17.813413532818355,159.59700449907874,0.9351798466362313,86.86011016837728,55,0,0,0,0,0,0.9651123352041919,2.4677737306285765,0.7027746,0.9879121,-0.9999992,0,0,1,0,0,0
