step,sim_time_s,altitude_km,latitude_deg,longitude_deg,battery_soc,solar_power_w,power_draw_w,in_eclipse,in_saa,fdir_mode,seu_active,gs_visible,panel_eff,drag_coeff,thrust_x,thrust_y,thrust_z,throttle,deep_sleep,payload_on,fdir_overridden,is_done,done_reason
2000,10005,559.8973801611501,-80.86408812021885,8.701831910739626,0.9870163866013014,89.97425452285329,55,0,0,0,0,0,0.9997139391428144,2.25287192692936,-0.23883757,0.15708807,0.097523116,0,0,1,0,0,0
4000,20005,570.827563256018,9.777326737233386,38.377373752414485,0.9968729754577564,89.21090231873542,5,0,0,0,0,0,0.9912322479859491,2.250086115422541,-0.3371387,0.13100521,-0.01777583,0.2764809,1,0,1,0,0
6000,30005,576.9903538702383,73.00574312887682,145.3947292211702,0.7661489965201348,89.0812698200127,5,0,0,0,0,0,0.98979188688903,2.276831068437949,-0.3413349,0.13133821,-0.020359263,0.2713311,1,0,1,0,0
8000,40005,586.4562998255215,-20.549655896339566,129.95183703568227,0.9120220897912342,0,55,1,0,0,0,0,0.9965629660115038,2.311921435437635,-0.51331854,-0.056071274,0.19773698,0,0,1,0,0,0
10000,50005,584.6674428918232,-62.36633080393343,-113.19309517274952,0.9889046843406866,89.71089572150562,55,0,0,0,0,0,0.9967877302389514,2.2900554542887344,-0.29041272,0.2026188,-0.12521717,0.20896314,0,1,0,0,0
12000,60005,572.9340832773614,32.65719942649149,-137.9722458688898,1,89.81065713421981,5,0,0,0,0,0,0.9978961903802201,2.2682464533347155,-0.34599155,0.1145525,0.011974327,0.2941795,1,0,1,0,0
14000,70005,578.3352357381818,49.29955914781241,-2.1700170364017324,0.7676118212360464,0,5,1,0,0,0,1,0.9924478722556749,2.3206084260270097,-0.34194073,0.11077927,0.012367606,0.28063118,1,0,1,0,0
16000,80005,608.8355354908063,-46.493674421391745,-29.67319564406559,0.9967888388432432,0,55,1,0,0,0,0,0.9971216674463542,2.3613400145974333,-0.44275978,0.0146024525,0.15765423,0,0,1,0,0,0
18000,90005,601.4305080685326,-35.66424252306935,91.32846629745347,0.9963656811881805,89.81897522753698,5,0,0,0,0,0,0.9979886136392998,2.374196009741724,-0.31922525,0.18375058,-0.108765,0.24690118,1,0,1,0,0
20000,100005,564.9051479979198,61.04494411055635,66.37255456050423,0.9270646074385434,89.39157065766074,5,0,0,0,0,0,0.9932396739740081,2.4134702406498616,-0.34824347,0.11101885,0.018617943,0.29846233,1,0,1,0,0
22000,110005,594.4435756780376,18.951404621524297,-160.69801980995263,0.8166998559867141,0,55,1,0,0,0,0,0.996390914881513,2.315835046227515,-0.4392664,0.045664582,0.03500151,0.17457885,0,1,0,0,0
24000,120005,637.0873740447123,-76.37933977087008,-168.35834790691905,0.9766557104186274,89.85502543499122,55,0,0,0,0,0,0.9983891714999025,2.353650357899336,-0.32099196,0.086870775,0.18696669,0,0,1,0,0,0
26000,130005,598.6442900240954,-2.9793023165806343,-68.42507318390182,1,89.98851511257351,5,0,0,0,0,0,0.9998723901397056,2.4169598892672175,-0.3330071,0.13953319,-0.03305305,0.26844165,1,0,1,0,0
28000,140005,558.890183619802,79.4230437935154,19.38429780323955,0.8021599174081905,89.84804564662005,5,0,0,0,0,2,0.9983116182957783,2.426835317491093,-0.3422214,0.12307204,-0.003003955,0.2840622,1,0,1,0,0
30000,150005,631.012063926596,-17.04465711526149,24.389583016934306,0.8918222602753233,0,55,1,0,0,0,0,0.993098165582835,2.446818397522941,-0.5154819,-0.0434571,0.15565756,0,0,1,0,0,0
32000,160005,655.4398974150199,-63.06686629420105,156.2228122396098,1,89.37055251338568,55,0,0,0,0,0,0.9930061390376186,2.4652552938081604,-0.28920126,0.20231798,-0.13079894,0.21411242,0,1,0,0,0
34000,170005,572.499000719351,35.518532936372395,132.63890076812967,1,88.88171264303382,5,0,0,0,0,0,0.9875745849225981,2.4130297806373466,-0.34531662,0.115756154,0.009860024,0.29258785,1,0,1,0,0
36000,180005,578.8414345095571,41.45356891252135,-105.04222628098836,0.7725791508984462,0,5,1,0,0,0,0,0.9861972035165797,2.3666877505278503,-0.3481913,0.101030245,0.010992706,0.2613795,1,0,1,0,0
38000,190005,679.4388343003084,-57.77743372122965,-130.36268997454158,0.99532260321721,88.8676276427428,55,0,0,0,0,0,0.9874180849193644,2.39546127884693,-0.47406882,-0.022110613,0.2911682,0,0,1,0,0,0
40000,200005,641.2296476029578,-21.462960824267665,3.866820137185068,0.977006480063855,88.524409415351,5,0,0,0,0,0,0.9836045490594556,2.4146572946717075,-0.3250475,0.16101968,-0.0703972,0.254232,1,0,1,0,0
42000,210005,545.3544179979572,78.09204973321222,3.0180058512498533,0.8503594429548771,88.03611430764248,5,0,0,0,0,2,0.9781790478626942,2.5158844602453385,-0.34657064,0.11366506,0.013787232,0.2944949,1,0,1,0,0
44000,220005,640.0635750108659,-4.370801512186267,97.57113934012754,0.8886989553294878,0,55,1,0,0,0,0,0.9750888660709081,2.431116847116807,-0.5099484,-0.030723752,0.10801745,0.055952206,0,1,0,0,0
46000,230005,707.8023274447623,-73.14275808591047,-155.28716110091187,0.9883150021212586,87.46219736742576,55,0,0,0,0,0,0.9718021929713974,2.405411308413869,-0.26758,0.1987984,-0.09892699,0.17638014,0,1,0,0,0
48000,240005,584.7940570780938,26.56092037785459,-169.08477489247016,1,86.59868289175864,5,0,0,0,0,0,0.9622075876862071,2.368490330772435,-0.34493396,0.11625923,0.008814529,0.2919983,1,0,1,0,0
50000,250005,567.8267859883081,47.22821153817692,-31.66218941001208,0.7551424747018828,0,5,1,0,0,0,0,0.9651123352041919,2.4677737306285765,-0.34383425,0.10502276,0.0128178075,0.27254233,1,0,1,0,0
52000,260005,719.8467141141991,-54.474241754740916,-56.82178186592697,1,87.02844201040784,55,0,0,0,0,0,0.9669826890045317,2.4295865760577935,-0.48293474,-0.027930256,0.29466462,0,0,1,0,0,0
54000,270005,674.0865990399079,-23.268132113277996,63.515666442948046,0.9864949621169647,87.46364601924402,5,0,0,0,0,0,0.9718182891027114,2.4595881480595936,-0.3246499,0.16171354,-0.071471535,0.25392145,1,0,1,0,0
56000,280005,533.0225745411344,78.72873779315577,66.18299843875076,0.8386803110953674,87.3873244795438,5,0,0,0,0,2,0.9709702719949311,2.4277480369396724,-0.3459819,0.11487582,0.011647664,0.2931787,1,0,1,0,0
58000,290005,665.029090753661,-8.156388978284278,173.1040357037514,0.8741269379119538,0,55,1,0,0,0,0,0.9666772100916714,2.456740167526401,-0.51217395,-0.03232423,0.11456833,0.04621477,0,1,0,0,0
60000,300005,752.0576820990764,-68.21334072390495,-73.44698190860726,0.9982907354290423,86.7698041194221,55,0,0,0,0,0,0.9641089346602456,2.4772286287735636,-0.28812313,0.2045063,-0.12967144,0.21389487,0,1,0,0,0
62000,310005,576.0277296703252,34.17954240111379,-92.6356399086049,1,86.82840549798661,5,0,0,0,0,0,0.96476006108874,2.4288026214540537,-0.34616464,0.114153355,0.012701914,0.2944202,1,0,1,0,0
64000,320005,578.8128985989215,36.50109432322084,31.00112908443606,0.783943203777945,0,55,1,0,0,0,0,0.9660107543318294,2.3924721681242955,-0.3591498,0.099157184,0.0038025007,0.23590305,0,1,0,0,0
66000,330005,773.7122120757849,-66.51663578303688,10.646971524055612,0.9928290374276192,86.82218337281039,55,0,0,0,0,0,0.9646909263645598,2.3895656591806502,-0.3886002,0.03874803,0.21278033,0,0,1,0,0,0
68000,340005,673.2269307679117,-9.022051880668204,140.6677874764668,0.9889151067111611,86.59074579054794,5,0,0,0,0,0,0.9621193976727549,2.3550544403431033,-0.3312819,0.1438481,-0.040438734,0.265394,1,0,1,0,0
70000,350005,521.6332294358317,77.41421192815629,-121.80307323000807,0.774905610686065,87.2141959017929,5,0,0,0,0,0,0.9690466211310322,2.349232182503009,-0.34359536,0.12283304,-0.003549181,0.282524,1,0,1,0,0
72000,360005,729.0849271138732,-27.7420110301256,-123.86868870516295,0.930499436078468,0,55,1,0,0,0,0,0.9672493952544132,2.3573599673797996,-0.49031252,-0.004763799,0.11790555,0.04598006,0,1,0,0,0
74000,370005,771.6886680494972,-48.07750360533248,-2.0618984118889023,1,87.4479594327989,5,0,0,0,0,0,0.9716439936977654,2.3215650821279517,-0.31704983,0.19314267,-0.12313396,0.24721593,1,0,1,0,0
76000,380005,534.1057052108072,58.06918357795671,-10.09365057106077,0.9223229490380248,87.49573490998053,5,0,0,0,0,3,0.972174832333117,2.341399368645964,-0.3474028,0.11175743,0.017065644,0.2966039,1,0,1,0,0
